127.0.0.1 - - [26/Mar/2020:16:55:50 +0700] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/cars/smallCars/ford-fiesta-2019-899x408.jpg HTTP/1.1" 200 57567
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Vinfast-logo.png HTTP/1.1" 200 120729
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Ferrari-logo-2560x1440.png HTTP/1.1" 200 127849
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Audi-logo-1999-1920x1080.png HTTP/1.1" 200 382643
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/web/jquery/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/BMW-logo-2000-2048x2048.png HTTP/1.1" 200 544997
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Cadillac-logo-2014-1920x1080.png HTTP/1.1" 200 682897
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Ford-logo-2003-1366x768.png HTTP/1.1" 200 153227
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Chevrolet-logo-2013-2560x1440.png HTTP/1.1" 200 522250
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Hyundai-logo-silver-2560x1440.png HTTP/1.1" 200 304070
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Lamborghini-logo-1920x1080.png HTTP/1.1" 200 611027
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Mercedes-Benz-logo-2011-1920x1080.png HTTP/1.1" 200 174195
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Nissan-logo-2013-1440x900.png HTTP/1.1" 200 379505
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Porsche-logo-2008-1920x1080.png HTTP/1.1" 200 951554
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Rolls-Royce-logo-2048x2048.png HTTP/1.1" 200 888312
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Toyota-logo-1989-2560x1440.png HTTP/1.1" 200 756094
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Volkswagen-logo-2019-1500x1500.png HTTP/1.1" 200 136634
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Tesla-logo-2003-2500x2500.png HTTP/1.1" 200 189116
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/cars/smallCars/2019-BMW-i3.png HTTP/1.1" 200 8522687
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:53 +0700] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:59 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/group?strCategory=mini HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:59 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/dang-nhap?action=login&message=not_login&alert=danger HTTP/1.1" 200 2784
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:59 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/styles.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:59 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/login/style.css HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:55:59 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/styles.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:56:06 +0700] "POST /java_web_jsp_servlet_jdbc_mysql/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:56:06 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/trang-chu HTTP/1.1" 200 11730
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:56:17 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/item?id=46 HTTP/1.1" 200 25516
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:56:17 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/web/css/shop-item.css HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:56:29 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/group?strCategory=mini HTTP/1.1" 200 17695
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:56:29 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/cars/smallCars/2019_Mini_Cooper_Hardtop_4_Door_Hatchback.png HTTP/1.1" 200 292363
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:56:29 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/web/css/heroic-features.css HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:56:29 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/cars/smallCars/honda_fit_2019.jpg HTTP/1.1" 200 73475
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:56:29 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/cars/smallCars/1-2019-Alfa-Romeo-4C-Spider.jpg HTTP/1.1" 200 56169
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:56:29 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/cars/smallCars/2019%20Mazda%20MX-5%20Miata.jpg HTTP/1.1" 200 43632
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:56:29 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/cars/smallCars/2019_MINI_Cooper_Hardtop_2_Door.png HTTP/1.1" 200 290073
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:56:29 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/cars/smallCars/2019-Fiat-500.jpg HTTP/1.1" 200 167452
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:56:29 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/cars/smallCars/mitsubishi-mirage-2019-cvt-banxehoi-com-1-8f33.jpg HTTP/1.1" 200 138453
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:56:29 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/cars/smallCars/2019-smart-EQ-fortwo.jpg HTTP/1.1" 200 211335
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:56:29 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/cars/smallCars/2018-chevrolet-spark-main-1543914361.jpg HTTP/1.1" 200 191476
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:56:34 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/item?id=54 HTTP/1.1" 200 24070
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:04 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/thoat?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:04 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/trang-chu HTTP/1.1" 200 11775
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:05 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/dang-nhap?action=login HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:05 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/styles.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:05 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/styles.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:10 +0700] "POST /java_web_jsp_servlet_jdbc_mysql/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:10 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/admin-home HTTP/1.1" 200 7680
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:10 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 200 27466
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:10 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 200 115813
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:10 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/assets/css/ace.min.css HTTP/1.1" 200 396938
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:10 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 200 6241
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:10 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/paging/jquery.twbsPagination.js HTTP/1.1" 200 12351
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:11 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:11 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:11 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/assets/js/jquery-2.1.4.min.js HTTP/1.1" 200 84380
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:11 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/js/jquery.2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:11 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:11 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 200 101267
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:11 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/assets/js/jquery.sparkline.index.min.js HTTP/1.1" 200 55164
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:11 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 200 10452
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:11 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 200 36827
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:11 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:11 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 200 41077
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:11 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/assets/js/ace.min.js HTTP/1.1" 200 55785
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:11 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 200 240333
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:12 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/ckeditor/ckeditor.js HTTP/1.1" 200 722351
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:12 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/font-awesome/4.5.0/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 200 66624
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:14 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/admin-new-list?type=list&page=1&maxPageItem=8&sortName=title&sortBy=desc HTTP/1.1" 200 16174
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:52 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/thoat?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:52 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/trang-chu HTTP/1.1" 200 11775
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:57 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/dang-nhap?action=login HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:57 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/styles.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:57:57 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/styles.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:58:02 +0700] "POST /java_web_jsp_servlet_jdbc_mysql/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:58:02 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/trang-chu HTTP/1.1" 200 11730
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:58:07 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/group?strCategory=mini HTTP/1.1" 200 17695
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:58:36 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/thoat?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:58:36 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/trang-chu HTTP/1.1" 200 11775
