0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/web/jquery/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Audi-logo-1999-1920x1080.png HTTP/1.1" 200 382643
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Ferrari-logo-2560x1440.png HTTP/1.1" 200 127849
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/BMW-logo-2000-2048x2048.png HTTP/1.1" 200 544997
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Vinfast-logo.png HTTP/1.1" 200 120729
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Chevrolet-logo-2013-2560x1440.png HTTP/1.1" 200 522250
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Ford-logo-2003-1366x768.png HTTP/1.1" 200 153227
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Hyundai-logo-silver-2560x1440.png HTTP/1.1" 200 304070
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Lamborghini-logo-1920x1080.png HTTP/1.1" 200 611027
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Mercedes-Benz-logo-2011-1920x1080.png HTTP/1.1" 200 174195
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Cadillac-logo-2014-1920x1080.png HTTP/1.1" 200 682897
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Nissan-logo-2013-1440x900.png HTTP/1.1" 200 379505
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Porsche-logo-2008-1920x1080.png HTTP/1.1" 200 951554
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Rolls-Royce-logo-2048x2048.png HTTP/1.1" 200 888312
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Toyota-logo-1989-2560x1440.png HTTP/1.1" 200 756094
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Tesla-logo-2003-2500x2500.png HTTP/1.1" 200 189116
